regime,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,brier_mean,brier_std
Unseen Genome,Baseline: Overall Majority,0.44077503027462017,0.05402837662189976,0.5,0.0,0.23858407079646016,0.3267042821794066,0.5,0.0,0.4992070002734482,0.08545627957268653,0.4,0.5477225575051662,0.6,0.5477225575051662,0.5592249697253798,0.05402837662189974
Unseen Genome,Baseline: Species Majority,0.6765420524239227,0.06269104615344223,0.6728671947491789,0.0472170691010766,0.6900611798102618,0.08625303094757912,0.6728671947491789,0.047217069101076634,0.6095253281120805,0.1023186934891805,0.74851224600687,0.11781498741014566,0.5972221434914877,0.1180713947746244,0.32345794757607715,0.06269104615344226
Unseen Genome,Baseline: Species+Antibiotic Majority,0.8476502988397984,0.0753608848054156,0.8525559646670571,0.06393144176874299,0.8518958394824601,0.07522285833739838,0.8525559646670571,0.063931441768743,0.7810289469778724,0.12109018027373157,0.9071976482087054,0.049931227992389825,0.7979142811254085,0.13545498934022768,0.15234970116020158,0.07536088480541561
Unseen Genome,Gradient Boosting,0.8237978046017422,0.081343954612073,0.8273312913235091,0.08075027438965723,0.813213132944111,0.09395106849937931,0.8925819115537508,0.08731420750964287,0.8511554202773418,0.1575431326983283,0.8057148189148036,0.09135670373890352,0.8489477637322148,0.13747623773720694,0.134560154700117,0.05386577654039328
Unseen Genome,Logistic Regression,0.8425719754677917,0.08061205578552258,0.8442439038044915,0.08098954134571178,0.8311686129684439,0.09913013246308133,0.8823616399739478,0.08589940534617248,0.8331994254779463,0.15591416712696582,0.8286063760952743,0.12151273652103665,0.8598814315137087,0.1430178834674048,0.14156222350152445,0.05358252319529433
Unseen Genome,Random Forest,0.8525723661080511,0.07831737091896929,0.8583238867565217,0.06989827012933093,0.8531181562495751,0.07917442334444488,0.9137557207571716,0.07203179264849094,0.8619471292025583,0.13318429398027415,0.8899136975914216,0.06744848269595377,0.826734075921622,0.14219283101291727,0.11879765469712363,0.06403702079207049
Unseen Genome,XGBoost,0.8526661197703035,0.0728489653906949,0.8592185932703671,0.06382373553914641,0.8552340473611156,0.07286121902790949,0.908346597495588,0.08171414376090358,0.8534458405125157,0.15524738543374406,0.8963770236625906,0.04454825508217735,0.8220601628781438,0.14500757076955,0.11972101777791977,0.06129812749328357
Leave-One-Species-Out,Baseline: Antibiotic Majority,0.3523640552995392,0.06770390951291709,0.44592475686308886,0.06000024045256807,0.24221601434837908,0.1654191899759582,0.44592475686308886,0.06000024045256807,0.5064471341730526,0.228334998082943,0.31233154919817707,0.3121652845660965,0.5795179645280006,0.3895443803435562,0.6476359447004608,0.06770390951291703
Leave-One-Species-Out,Baseline: Genome+Antibiotic Majority,0.3479247311827957,0.14033917978260493,0.5,0.0,0.20047496912700674,0.28539242084798716,0.5,0.0,0.5254086021505376,0.21862456011454914,0.4,0.5477225575051661,0.6,0.5477225575051661,0.6520752688172042,0.14033917978260496
Leave-One-Species-Out,Baseline: Overall Majority,0.3479247311827957,0.14033917978260493,0.5,0.0,0.20047496912700674,0.28539242084798716,0.5,0.0,0.5254086021505376,0.21862456011454914,0.4,0.5477225575051661,0.6,0.5477225575051661,0.6520752688172042,0.14033917978260496
Leave-One-Species-Out,Baseline: Species Majority,0.3479247311827957,0.14033917978260493,0.5,0.0,0.20047496912700674,0.28539242084798716,0.5,0.0,0.5254086021505376,0.21862456011454914,0.4,0.5477225575051661,0.6,0.5477225575051661,0.6520752688172042,0.14033917978260496
Leave-One-Species-Out,Baseline: Species+Antibiotic Majority,0.3479247311827957,0.14033917978260493,0.5,0.0,0.20047496912700674,0.28539242084798716,0.5,0.0,0.5254086021505376,0.21862456011454914,0.4,0.5477225575051661,0.6,0.5477225575051661,0.6520752688172042,0.14033917978260496
Leave-One-Species-Out,Gradient Boosting,0.4378663594470046,0.15038556031500583,0.5056676152353147,0.10628877989977156,0.49230769230769234,0.14854976641406475,0.5080988266711056,0.13990181506056495,0.5763408522703084,0.2433881597730894,0.5928393234159104,0.24230675159296075,0.4184959070547188,0.2294429247881338,0.34845092450977794,0.08353557133118719
Leave-One-Species-Out,Logistic Regression,0.4497373271889401,0.1836470357169485,0.5245104387792953,0.15248436935646592,0.45144536259391954,0.13267467777916087,0.49514602814564795,0.1660222693948459,0.5638277713505395,0.25854222000674376,0.4738798127266386,0.19627892124831486,0.575141064831952,0.3641558188019056,0.35240344531916284,0.09068973365852849
Leave-One-Species-Out,Random Forest,0.38897235023041477,0.12661464296050257,0.4608007609470137,0.09534248099057946,0.42873823408344125,0.1235293686149746,0.48111356655011656,0.09177629064553885,0.5497774868297383,0.20760001794308325,0.5063837016661712,0.22599830943634255,0.41521782022785636,0.2495968802158521,0.37924213795320283,0.10936644792541766
Leave-One-Species-Out,XGBoost,0.4161889400921659,0.15946160264545478,0.4950232592921158,0.1296040596249992,0.3607130696767526,0.23772277729151522,0.5418242528895019,0.17746270919842552,0.5840262858493067,0.24702678733543074,0.41490545375227966,0.2852923883553224,0.575141064831952,0.3641558188019056,0.3602282077074051,0.11177759366452507
